Cycle	Pathway	k_number	Detail
		K02277	"coxD, ctaF; cytochrome c oxidase subunit IV [EC:1.9.3.1] (non-essential)"
	Cytochrome aa3-600 menaquinol oxidase 	K02829	qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]
		K02828	qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]
		K02827	qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]
		K02826	qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]
	Cytochrome bc1 complex 	K00410	fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
		K00411	"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
		K00412	"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
		K00413	"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
		K00414	"QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1"
		K00415	"QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2"
		K00416	"QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6"
		K00417	"QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7"
		K00418	"QCR8, UQCRQ; ubiquinol-cytochrome c reductase subunit 8"
		K00419	"QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9"
		K00420	"QCR10, UQCR; ubiquinol-cytochrome c reductase subunit 10"
Secretion system	Type I Secretion 	K12340	tolC; outer membrane protein
		K11003	"HlyD; membrane fusion protein, hemolysin D"
		K11004	"HylB; ABC transpoter, ATP-binding cassette, subfamily B, bacterial HlyB"
	Type III Secretion	K03221	yscF; type III secretion protein F
		K04056	yscO; type III secretion protein O
		K04057	yscP; type III secretion protein P
		K04059	yscX; type III secretion protein X
		K03219	yscC; type III secretion protein C
		K04058	yscW; type III secretion protein W
		K03222	yscJ; type III secretion protein J
		K03226	yscR; type III secretion protein R
		K03227	yscS; type III secretion protein S
		K03228	yscT; type III secretion protein T
		K03229	yscU; type III secretion protein U
		K03230	yscV; type III secretion protein V
		K03224	yscN; type III secretion protein N
		K03225	yscQ; type III secretion protein Q
		K03223	yscL; type III secretion protein L
	Type II Secretion 	K02453	gspD; general secretion pathway protein D
		K02465	gspS; general secretion pathway protein S
		K02452	gspC; general secretion pathway protein C
		K02455	gspF; general secretion pathway protein F
		K02456	gspG; general secretion pathway protein G
		K02457	gspH; general secretion pathway protein H
		K02458	gspI; general secretion pathway protein I
		K02459	gspJ; general secretion pathway protein J
		K02460	gspK; general secretion pathway protein K
		K02461	gspL; general secretion pathway protein L
		K02462	gspM; general secretion pathway protein M
		K02454	gspE; general secretion pathway protein E
		K02464	gspO; general secretion pathway protein O
	Type IV Secretion	K03149	virB1; type IV secretion system protein VirB1
		K03197	virB2; type IV secretion system protein VirB27
		K03198	virB3; type IV secretion system protein VirB3
		K03200	virB5; type IV secretion system protein VirB5
		K03202	virB7; type IV secretion system protein VirB7
		K03204	virB9; type IV secretion system protein VirB9
		K03201	virB6; type IV secretion system protein VirB6
		K03203	virB8; type IV secretion system protein VirB8
		K03195	virB10; type IV secretion system protein VirB10
		K03199	virB4; type IV secretion system protein VirB4
		K03196	virB11; type IV secretion system protein VirB11
		K03205	virD4; type IV secretion system protein VirD4
	Type VI Secretion	K11904	vgrG; type VI secretion system secreted protein VgrG
		K11903	hcp; type VI secretion system secreted protein Hcp
		K11906	lip; type VI secretion system protein Lip
		K11891	icmF; type VI secretion system protein IcmF
		K11892	dotU; type VI secretion system protein DotU
		K11907	clpV; type VI secretion system protein ClpV
		K11912	ppkA; serine/threonine-protein kinase PpkA
		K11913	fha1; type VI secretion system protein Fha1
		K11915	pppA; serine/threonine protein phosphatase PppA
	Sec-SRP	K03072	secD; preprotein translocase subunit SecD
		K03074	secF; preprotein translocase subunit SecF
		K12257	secDF; SecD/SecF fusion protein
		K03073	secE; preprotein translocase subunit SecE
		K03075	secG; preprotein translocase subunit SecG
		K03076	secY; preprotein translocase subunit SecY
		K03210	yajC; preprotein translocase subunit YajC
		K03217	yidC; preprotein translocase subunit YidC
		K03070	secA; preprotein translocase subunit SecG
		K13301	secM; preprotein translocase subunit SecM
		K03110	ftsY; fused signal recognition particle receptor
		K03071	secB; preprotein translocase subunit SecB
		K03106	ffh; signal recognition particle subunit Ffh
	Twin arginine targeting	K03116	tatA; sec-independent protein translocase protein TatA
		K03117	tatB; sec-independent protein translocase protein TatB
		K03118	tatC; sec-independent protein translocase protein TatC
		K03425	tatE; sec-independent protein translocase protein TatE
	"Type Vabc Secretion for Va, Vb and Vc"	K11028	"vacA; Type Va, vacuolating cytotoxin"
		K11017	"shlB; Type Vb, hemolysin activation/secretion protein"
		K11016	"shlA; Type Vb, hemolysin"
		K12341	"yadA; Type Vc, adhesin YadA"
		K12342	"yadBC; Type Vc, adhesin YadB/C"
Other	Bacterial chemotaxis	K03406	mcp; methyl-accepting chemotaxis protein
		K05874	"tsr; methyl-accepting chemotaxis protein I, serine sensor receptor"
		K05875	"tar; methyl-accepting chemotaxis protein II, aspartate sensor receptor"
		K05876	"trg; methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor"
		K05877	"tap; methyl-accepting chemotaxis protein IV, peptide sensor receptor"
		K03776	aer; aerotaxis receptor
		K10108	malE; maltose/maltodextrin transport system substrate-binding protein
		K10439	rbsB; ribose transport system substrate-binding protein
		K10540	mglB; methyl-galactoside transport system substrate-binding protein
		K12368	dppA; dipeptide transport system substrate-binding protein
		K03407	"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
		K03408	cheW; purine-binding chemotaxis protein CheW
		K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
		K03410	cheC; chemotaxis protein CheC
		K03414	cheZ; chemotaxis protein CheZ
		K03409	cheX; chemotaxis protein CheX
		K03412	"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
		K13924	"cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]"
		K03415	"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
		K03411	cheD; chemotaxis protein CheD [EC:3.5.1.44]
		K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
		K02410	fliG; flagellar motor switch protein FliG
		K02416	fliM; flagellar motor switch protein FliM
		K02417	"fliNY, fliN; flagellar motor switch protein FliN/FliY"
		K02556	motA; chemotaxis protein MotA
		K02557	motB; chemotaxis protein MotB
	Flagellar assembly	K02402	flhC; flagellar transcriptional activator FlhC
		K02403	flhD; flagellar transcriptional activator FlhD
		K02398	flgM; negative regulator of flagellin synthesis FlgM
		K02405	fliA; RNA polymerase sigma factor for flagellar operon FliA
		K02406	fliC; flagellin
		K02407	fliD; flagellar hook-associated protein 2
		K02397	flgL; flagellar hook-associated protein 3 FlgL
		K02396	flgK; flagellar hook-associated protein 1 FlgK
		K02414	fliK; flagellar hook-length control protein FliK
		K02389	flgD; flagellar basal-body rod modification protein FlgD
		K02390	flgE; flagellar hook protein FlgE
		K02391	flgF; flagellar basal-body rod protein FlgF
		K02392	flgG; flagellar basal-body rod protein FlgG
		K02393	flgH; flagellar L-ring protein precursor FlgH
		K02394	flgI; flagellar P-ring protein precursor FlgI
		K02387	flgB; flagellar basal-body rod protein FlgB
		K02388	flgC; flagellar basal-body rod protein FlgC
		K02408	fliE; flagellar hook-basal body complex protein FliE
		K02409	fliF; flagellar M-ring protein FliF
		K02410	fliG; flagellar motor switch protein FliG
		K02416	fliM; flagellar motor switch protein FliM
		K02417	"fliNY, fliN; flagellar motor switch protein FliN/FliY"
		K02400	flhA; flagellar biosynthesis protein FlhA
		K02401	flhB; flagellar biosynthetic protein FlhB
		K02411	fliH; flagellar assembly protein FliH
		K02412	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
		K02418	"fliOZ, fliO; flagellar protein FliO/FliZ"
		K02419	fliP; flagellar biosynthetic protein FliP
		K02420	fliQ; flagellar biosynthetic protein FliQ
		K02421	fliR; flagellar biosynthetic protein FliR
		K13820	fliR-flhB; flagellar biosynthetic protein FliR/FlhB
		K02556	motA; chemotaxis protein MotA
		K02557	motB; chemotaxis protein MotB
		K21217	motX; sodium-type polar flagellar protein MotX
		K21218	motY; sodium-type flagellar protein MotY
		K02399	flgN; flagella synthesis protein FlgN
		K02413	fliJ; flagellar FliJ protein
		K02422	fliS; flagellar protein FliS
		K02423	fliT; flagellar protein FliT
		K02386	flgA; flagella basal body P-ring formation protein FlgA
	Dissimilatory arsenic reduction (arsRBC or arsRDABC)	K00537	arsC; arsenate reductase
		K03741	arsC; arsenate reductase
		K18701	arsC; arsenate-mycothiol transferase
		K03325	arsB; arsenite transporter OR K03893 arsB; arsenical pump membrane protein
		K03893	arsB; arsenical pump membrane protein
		K03892	arsR; ArsR family transcriptional regulator
		K01551	arsA; arsenite/tail-anchored protein-transporting ATPase
